type,room_type,area_m2,price,external_features,interior_features,location_features
Müstakil Ev,6 + 2,520.0,2500000.0,"['Bahçeli', ' Isı Yalıtım', ' Otopark - Açık', ' Otopark - Kapalı']","['ADSL', ' Ahşap Doğrama', ' Balkon', ' Çamaşır Odası', ' Çelik Kapı', ' Ebeveyn Banyolu', ' Giyinme Odası', ' Hazır Mutfak', ' Isıcam', ' Kablo TV-Uydu', ' Kartonpiyer', ' Mermer Zemin', ' Mobilyalı', ' Mutfak Doğalgazı', ' Panel Kapı', ' Parke', ' Parke - Laminant', ' Parke - Lamine', ' Saten Alçı', ' Saten Boya', ' Seramik Zemin', ' Spot Işık', ' Teras', ' Vestiyer']","['Arka cephe', ' Cadde Üzerinde', ' Caddeye yakın', ' Havaalanına yakın', ' Manzara', ' Manzara - Doğa', ' Manzara - Şehir', ' Merkezde', ' Minibüs / Dolmuşa yakın', ' Otobana yakın', ' Ön cephe', ' Toplu Ulaşıma yakın']"
Daire,3 + 1,130.0,1230000.0,"['Asansör', ' Hidrofor', ' Jeneratör', ' Kapıcı', ' PVC Doğrama', ' Siding', ' Su deposu', ' Yangın Merdiveni', ' Yüzme Havuzu']","['ADSL', ' Ahşap Doğrama', ' Alarm', ' Ankastre Mutfak', ' Balkon', ' Barbekü', ' Beyaz Eşyalı', ' Çamaşır Odası', ' Çelik Kapı', ' Duşakabin', ' Duvar Kağıdı', ' Ebeveyn Banyolu', ' Giyinme Odası', ' Gömme Dolap', ' Görüntülü Diafon', ' Hilton Banyo', ' Isıcam', ' Jakuzi', ' Kablo TV-Uydu', ' Kartonpiyer', ' Klima', ' Laminant Mutfak', ' Marley', ' Mobilyalı', ' Mutfak Doğalgazı', ' Panel Kapı', ' Parke', ' Sauna', ' Seramik Zemin', ' Spot Işık', ' Şömine', ' Teras', ' Vestiyer']","['Cadde Üzerinde', ' Denize sıfır', ' Havaalanına yakın', ' Manzara - Doğa', ' Manzara - Şehir']"
Daire,3 + 1,130.0,1150000.0,"['Asansör', ' Hidrofor', ' Jeneratör', ' Kapıcı', ' PVC Doğrama', ' Siding', ' Su deposu', ' Yangın Merdiveni', ' Yüzme Havuzu']","['ADSL', ' Ahşap Doğrama', ' Alarm', ' Ankastre Mutfak', ' Balkon', ' Barbekü', ' Beyaz Eşyalı', ' Çamaşır Odası', ' Çelik Kapı', ' Duşakabin', ' Duvar Kağıdı', ' Giyinme Odası', ' Gömme Dolap', ' Görüntülü Diafon', ' Hilton Banyo', ' Jakuzi', ' Kablo TV-Uydu', ' Kartonpiyer', ' Laminant Mutfak', ' Marley', ' Mobilyalı', ' Mutfak Doğalgazı', ' Panel Kapı', ' Parke', ' Seramik Zemin', ' Spot Işık', ' Teras', ' Vestiyer']","['Cadde Üzerinde', ' Havaalanına yakın', ' Manzara - Doğa', ' Manzara - Şehir', ' Metroya yakın']"
Kooperatif,2 + 1,90.0,535000.0,"['Bahçeli', ' Otopark - Açık', ' Oyun Parkı', ' Site içerisinde']","['Balkon', ' Çelik Kapı', ' Ebeveyn Banyolu', ' Isıcam', ' Mutfak Doğalgazı']","['Caddeye yakın', ' Havaalanına yakın', ' Manzara - Doğa', ' Manzara - Şehir', ' Minibüs / Dolmuşa yakın', ' Ön cephe', ' Toplu Ulaşıma yakın']"
Daire,3 + 1,145.0,2600000.0,"['Asansör', ' Kapıcı', ' Su deposu', ' Yangın Merdiveni']","['Ahşap Doğrama', ' Alarm', ' Ankastre Mutfak', ' Balkon', ' Çelik Kapı', ' Duşakabin', ' Giyinme Odası', ' Görüntülü Diafon', ' Isıcam', ' Kartonpiyer', ' Laminant Mutfak', ' Mutfak Doğalgazı', ' Panel Kapı', ' Parke', ' Spot Işık', ' Vestiyer']","['Cadde Üzerinde', ' Havaalanına yakın', ' Manzara - Doğa', ' Manzara - Şehir']"
Daire,6 + 2,280.0,2300000.0,"['Asansör', ' Kapıcı', ' PVC Doğrama', ' Yangın Merdiveni']","['Ahşap Doğrama', ' Ankastre Mutfak', ' Balkon', ' Beyaz Eşyalı', ' Çelik Kapı', ' Duşakabin', ' Duvar Kağıdı', ' Ebeveyn Banyolu', ' Giyinme Odası', ' Gömme Dolap', ' Hilton Banyo', ' Isıcam', ' Kartonpiyer', ' Mobilyalı', ' Mutfak Doğalgazı', ' Panel Kapı', ' Parke', ' Sauna', ' Seramik Zemin', ' Spot Işık', ' Şömine', ' Teras', ' Vestiyer']","['Cadde Üzerinde', ' ""E-5e yakın""', ' Havaalanına yakın', ' Manzara - Doğa', ' Manzara - Şehir']"
Daire,1 + 1,48.0,1250000.0,"['Asansör', ' Bahçeli', ' Güvenlik', ' Hidrofor', ' Isı Yalıtım', ' Otopark - Açık', ' Oyun Parkı', ' PVC Doğrama', ' Site içerisinde', ' Su deposu', ' Yüzme Havuzu']","['ADSL', ' Ankastre Mutfak', ' Balkon', ' Çelik Kapı', ' Görüntülü Diafon', ' Hazır Mutfak', ' Hilton Banyo', ' Isıcam', ' Kablo TV-Uydu', ' Kartonpiyer', ' Laminant Mutfak', ' Mutfak Doğalgazı', ' Panel Kapı', ' Parke', ' Saten Alçı', ' Saten Boya']","['Cadde Üzerinde', ' Caddeye yakın', ' Havaalanına yakın', ' Manzara', ' Manzara - Doğa', ' Manzara - Şehir', ' Otobana yakın', ' Ön cephe', ' Toplu Ulaşıma yakın']"
Müstakil Ev,3 + 1,120.0,2000000.0,"['Bahçeli', ' PVC Doğrama']","['Ahşap Doğrama', ' Balkon', ' Isıcam', ' Kartonpiyer', ' Mutfak Doğalgazı', ' Seramik Zemin']","['Manzara - Doğa', ' Manzara - Şehir']"
Daire,3 + 1,115.0,950000.0,"['Isı Yalıtım', ' Otopark - Açık']","['Balkon', ' Çelik Kapı']","['Caddeye yakın', ' Havaalanına yakın', ' Merkezde', ' Minibüs / Dolmuşa yakın', ' Toplu Ulaşıma yakın']"
Müstakil Ev,3 + 1,200.0,1800000.0,"['Bahçeli', ' Isı Yalıtım']","['Balkon', ' Ebeveyn Banyolu', ' Parke']","['Havaalanına yakın', ' Metrobüse yakın', ' Minibüs / Dolmuşa yakın', ' Toplu Ulaşıma yakın']"
